order_id,hour,category,item_name,price,quantity,discount,total_amount,branch,payment_method,order_type,customer_id,rating,is_weekend,order_date,year,month,day_name
280822,20,مقبلات,بابا غنوج,73.97,5,0.1,332.87,القاهرة,Cash,Dine-in,168534,4,1,2025-10-10,2025,10,Friday
603315,22,مقبلات,طحينة,38.15,4,0.1,137.33,القاهرة,Cash,Takeaway,163668,4,1,2020-10-09,2020,10,Friday
1261600,18,محاشي,محشي كوسة,102.18,2,0,204.36,المنصورة,Card,Delivery,113302,3,1,2023-10-06,2023,10,Friday
642080,18,طواجن,طاجن ملوخية,130.74,3,0,392.23,الجيزة,Cash,Takeaway,103317,3,0,2020-08-19,2020,8,Wednesday
1580960,19,مشروبات,عصير مانجو,22.64,2,0,45.28,القاهرة,Wallet,Dine-in,93327,4,0,2023-05-23,2023,5,Tuesday
519379,18,مشويات,كباب,157.61,2,0,315.21,طنطا,Cash,Dine-in,189459,4,0,2023-08-10,2023,8,Thursday
190268,22,مشويات,كفتة,164.83,2,0,329.66,الإسكندرية,Wallet,Delivery,16679,4,0,2024-01-29,2024,1,Monday
2134446,14,مشروبات,عصير مانجو,25.32,5,0.1,113.92,القاهرة,Cash,Dine-in,3926,4,0,2024-01-08,2024,1,Monday
409098,10,طواجن,طاجن فراخ,118.28,4,0.1,425.79,القاهرة,Card,Dine-in,54357,3,1,2025-07-12,2025,7,Saturday
441705,16,محاشي,محشي باذنجان,70.79,4,0.1,254.84,القاهرة,Card,Dine-in,87936,4,1,2025-07-18,2025,7,Friday
655067,23,مشويات,كباب,169.98,3,0,509.93,القاهرة,Cash,Delivery,130488,4,0,2025-11-18,2025,11,Tuesday
9353,12,محاشي,محشي باذنجان,47.42,4,0.1,170.7,القاهرة,Cash,Dine-in,47281,4,0,2021-05-06,2021,5,Thursday
96640,19,مشويات,كباب,158.87,4,0.1,571.93,القاهرة,Cash,Delivery,154120,4,0,2024-05-27,2024,5,Monday
603409,10,طواجن,طاجن فراخ,122.17,2,0,244.34,الجيزة,Cash,Dine-in,42810,3,1,2024-12-29,2024,12,Sunday
287847,16,مشويات,شيش طاووق,136.98,4,0.1,493.14,القاهرة,Card,Dine-in,83310,4,1,2021-04-18,2021,4,Sunday
985934,15,طواجن,طاجن فراخ,126.27,2,0,252.54,المنصورة,Cash,Takeaway,78627,3,0,2020-02-19,2020,2,Wednesday
341531,17,مشويات,كباب,137.17,4,0.1,493.81,الجيزة,Card,Takeaway,124577,3,0,2022-02-08,2022,2,Tuesday
507461,10,مقبلات,طحينة,57.59,1,0,57.59,القاهرة,Card,Dine-in,104571,5,0,2022-10-20,2022,10,Thursday
621052,20,مشروبات,عصير مانجو,27.9,3,0,83.71,الجيزة,Wallet,Delivery,129493,4,0,2021-09-06,2021,9,Monday
152733,13,طواجن,طاجن فراخ,114.74,2,0,229.47,أسيوط,Wallet,Takeaway,73236,3,0,2021-04-01,2021,4,Thursday
1000285,10,طواجن,طاجن بامية,111.3,1,0,111.3,طنطا,Wallet,Takeaway,105823,3,0,2024-11-14,2024,11,Thursday
1378108,19,مشروبات,عصير مانجو,17.48,2,0,34.96,القاهرة,Card,Takeaway,90975,3,0,2024-08-01,2024,8,Thursday
